caseId,datasetId,simulationOnly,category,tuningExcluded,scenarioFamily,customerId,expectedSignals,allowedConclusions,forbiddenConclusions,requiredQuestions,forbiddenOutputs,applicableExplanations,boundaryType
SIM-EVAL-N01,SIM-DSV2-EVAL,True,NORMAL_OR_OPPORTUNITY,True,SIM-FAM-N-HOLD1,SIM-C001,[],['SWITCH_POSTURE_NO_TREND_1M'],"['CLAIM_ENTERPRISE_FRAUD', 'OUTPUT_CREDIT_LIMIT', 'OUTPUT_APPROVAL_DECISION']",[],"['EMPTY_ALL_UNKNOWN', 'BLANK_AVOIDANCE']",,
SIM-EVAL-N02,SIM-DSV2-EVAL,True,NORMAL_OR_OPPORTUNITY,True,SIM-FAM-N-HOLD1,SIM-C001,[],['SWITCH_POSTURE_NO_TREND_1M'],"['CLAIM_ENTERPRISE_FRAUD', 'OUTPUT_CREDIT_LIMIT', 'OUTPUT_APPROVAL_DECISION']",[],"['EMPTY_ALL_UNKNOWN', 'BLANK_AVOIDANCE']",,
SIM-EVAL-N03,SIM-DSV2-EVAL,True,NORMAL_OR_OPPORTUNITY,True,SIM-FAM-N-HOLD1,SIM-C001,[],['SWITCH_POSTURE_NO_TREND_1M'],"['CLAIM_ENTERPRISE_FRAUD', 'OUTPUT_CREDIT_LIMIT', 'OUTPUT_APPROVAL_DECISION']",[],"['EMPTY_ALL_UNKNOWN', 'BLANK_AVOIDANCE']",,
SIM-EVAL-N04,SIM-DSV2-EVAL,True,NORMAL_OR_OPPORTUNITY,True,SIM-FAM-N-HOLD1,SIM-C001,[],['SWITCH_POSTURE_NO_TREND_1M'],"['CLAIM_ENTERPRISE_FRAUD', 'OUTPUT_CREDIT_LIMIT', 'OUTPUT_APPROVAL_DECISION']",[],"['EMPTY_ALL_UNKNOWN', 'BLANK_AVOIDANCE']",,
SIM-EVAL-N05,SIM-DSV2-EVAL,True,NORMAL_OR_OPPORTUNITY,True,SIM-FAM-N-HOLD1,SIM-C001,[],['SWITCH_POSTURE_NO_TREND_1M'],"['CLAIM_ENTERPRISE_FRAUD', 'OUTPUT_CREDIT_LIMIT', 'OUTPUT_APPROVAL_DECISION']",[],"['EMPTY_ALL_UNKNOWN', 'BLANK_AVOIDANCE']",,
SIM-EVAL-N06,SIM-DSV2-EVAL,True,NORMAL_OR_OPPORTUNITY,True,SIM-FAM-N-HOLD2,SIM-C001,[],['SWITCH_POSTURE_NO_TREND_1M'],"['CLAIM_ENTERPRISE_FRAUD', 'OUTPUT_CREDIT_LIMIT', 'OUTPUT_APPROVAL_DECISION']",[],"['EMPTY_ALL_UNKNOWN', 'BLANK_AVOIDANCE']",,
SIM-EVAL-N07,SIM-DSV2-EVAL,True,NORMAL_OR_OPPORTUNITY,True,SIM-FAM-N-HOLD2,SIM-C001,[],['SWITCH_POSTURE_NO_TREND_1M'],"['CLAIM_ENTERPRISE_FRAUD', 'OUTPUT_CREDIT_LIMIT', 'OUTPUT_APPROVAL_DECISION']",[],"['EMPTY_ALL_UNKNOWN', 'BLANK_AVOIDANCE']",,
SIM-EVAL-N08,SIM-DSV2-EVAL,True,NORMAL_OR_OPPORTUNITY,False,SIM-FAM-N-DEV1,SIM-C001,[],['SWITCH_POSTURE_NO_TREND_1M'],"['CLAIM_ENTERPRISE_FRAUD', 'OUTPUT_CREDIT_LIMIT', 'OUTPUT_APPROVAL_DECISION']",[],"['EMPTY_ALL_UNKNOWN', 'BLANK_AVOIDANCE']",,
SIM-EVAL-N09,SIM-DSV2-EVAL,True,NORMAL_OR_OPPORTUNITY,False,SIM-FAM-N-DEV1,SIM-C001,[],['SWITCH_POSTURE_NO_TREND_1M'],"['CLAIM_ENTERPRISE_FRAUD', 'OUTPUT_CREDIT_LIMIT', 'OUTPUT_APPROVAL_DECISION']",[],"['EMPTY_ALL_UNKNOWN', 'BLANK_AVOIDANCE']",,
SIM-EVAL-N10,SIM-DSV2-EVAL,True,NORMAL_OR_OPPORTUNITY,False,SIM-FAM-N-DEV1,SIM-C001,[],['SWITCH_POSTURE_NO_TREND_1M'],"['CLAIM_ENTERPRISE_FRAUD', 'OUTPUT_CREDIT_LIMIT', 'OUTPUT_APPROVAL_DECISION']",[],"['EMPTY_ALL_UNKNOWN', 'BLANK_AVOIDANCE']",,
SIM-EVAL-N11,SIM-DSV2-EVAL,True,NORMAL_OR_OPPORTUNITY,False,SIM-FAM-N-DEV1,SIM-C001,[],['SWITCH_POSTURE_NO_TREND_1M'],"['CLAIM_ENTERPRISE_FRAUD', 'OUTPUT_CREDIT_LIMIT', 'OUTPUT_APPROVAL_DECISION']",[],"['EMPTY_ALL_UNKNOWN', 'BLANK_AVOIDANCE']",,
SIM-EVAL-N12,SIM-DSV2-EVAL,True,NORMAL_OR_OPPORTUNITY,False,SIM-FAM-N-DEV1,SIM-C001,[],['SWITCH_POSTURE_NO_TREND_1M'],"['CLAIM_ENTERPRISE_FRAUD', 'OUTPUT_CREDIT_LIMIT', 'OUTPUT_APPROVAL_DECISION']",[],"['EMPTY_ALL_UNKNOWN', 'BLANK_AVOIDANCE']",,
SIM-EVAL-N13,SIM-DSV2-EVAL,True,NORMAL_OR_OPPORTUNITY,False,SIM-FAM-N-DEV2,SIM-C001,[],['SWITCH_POSTURE_NO_TREND_1M'],"['CLAIM_ENTERPRISE_FRAUD', 'OUTPUT_CREDIT_LIMIT', 'OUTPUT_APPROVAL_DECISION']",[],"['EMPTY_ALL_UNKNOWN', 'BLANK_AVOIDANCE']",,
SIM-EVAL-N14,SIM-DSV2-EVAL,True,NORMAL_OR_OPPORTUNITY,False,SIM-FAM-N-DEV2,SIM-C001,[],['SWITCH_POSTURE_NO_TREND_1M'],"['CLAIM_ENTERPRISE_FRAUD', 'OUTPUT_CREDIT_LIMIT', 'OUTPUT_APPROVAL_DECISION']",[],"['EMPTY_ALL_UNKNOWN', 'BLANK_AVOIDANCE']",,
SIM-EVAL-N15,SIM-DSV2-EVAL,True,NORMAL_OR_OPPORTUNITY,False,SIM-FAM-N-DEV2,SIM-C001,[],['SWITCH_POSTURE_NO_TREND_1M'],"['CLAIM_ENTERPRISE_FRAUD', 'OUTPUT_CREDIT_LIMIT', 'OUTPUT_APPROVAL_DECISION']",[],"['EMPTY_ALL_UNKNOWN', 'BLANK_AVOIDANCE']",,
